distrito,fecha,precio_m2
Arganzuela,2007-11-01,4000.0
Arganzuela,2007-12-01,4000.0
Arganzuela,2008-01-01,4000.0
Arganzuela,2008-02-01,3824.0
Arganzuela,2008-03-01,4000.0
Arganzuela,2008-04-01,3910.0
Arganzuela,2008-05-01,4000.0
Arganzuela,2008-06-01,3789.0
Arganzuela,2008-07-01,3772.0
Arganzuela,2008-08-01,3714.0
Arganzuela,2008-09-01,3738.0
Arganzuela,2008-10-01,3696.0
Arganzuela,2008-11-01,3714.0
Arganzuela,2008-12-01,3667.0
Arganzuela,2009-01-01,3782.0
Arganzuela,2009-02-01,3722.0
Arganzuela,2009-03-01,3722.0
Arganzuela,2009-04-01,3722.0
Arganzuela,2009-05-01,3696.0
Arganzuela,2009-06-01,3643.0
Arganzuela,2009-07-01,3571.0
Arganzuela,2009-08-01,3589.0
Arganzuela,2009-09-01,3589.0
Arganzuela,2009-10-01,3564.0
Arganzuela,2009-11-01,3556.0
Arganzuela,2009-12-01,3494.0
Arganzuela,2010-01-01,3494.0
Arganzuela,2010-02-01,3513.0
Arganzuela,2010-03-01,3500.0
Arganzuela,2010-04-01,3518.0
Arganzuela,2010-05-01,3540.0
Arganzuela,2010-06-01,3556.0
Arganzuela,2010-07-01,3545.0
Arganzuela,2010-08-01,3538.0
Arganzuela,2010-09-01,3545.0
Arganzuela,2010-10-01,3564.0
Arganzuela,2010-11-01,3576.0
Arganzuela,2010-12-01,3561.0
Arganzuela,2011-01-01,3543.0
Arganzuela,2011-02-01,3523.0
Arganzuela,2011-03-01,3475.0
Arganzuela,2011-04-01,3460.0
Arganzuela,2011-05-01,3440.0
Arganzuela,2011-06-01,3426.0
Arganzuela,2011-07-01,3387.0
Arganzuela,2011-08-01,3332.0
Arganzuela,2011-09-01,3332.0
Arganzuela,2011-10-01,3332.0
Arganzuela,2011-11-01,3307.0
Arganzuela,2011-12-01,3301.0
Arganzuela,2012-01-01,3265.0
Arganzuela,2012-02-01,3231.0
Arganzuela,2012-03-01,3242.0
Arganzuela,2012-04-01,3164.0
Arganzuela,2012-05-01,3144.0
Arganzuela,2012-06-01,3095.0
Arganzuela,2012-07-01,3060.0
Arganzuela,2012-08-01,3010.0
Arganzuela,2012-09-01,3014.0
Arganzuela,2012-10-01,3007.0
Arganzuela,2012-11-01,2956.0
Arganzuela,2012-12-01,2911.0
Arganzuela,2013-01-01,2910.0
Arganzuela,2013-02-01,2881.0
Arganzuela,2013-03-01,2846.0
Arganzuela,2013-04-01,2821.0
Arganzuela,2013-05-01,2818.0
Arganzuela,2013-06-01,2781.0
Arganzuela,2013-07-01,2778.0
Arganzuela,2013-08-01,2750.0
Arganzuela,2013-09-01,2762.0
Arganzuela,2013-10-01,2750.0
Arganzuela,2013-11-01,2714.0
Arganzuela,2013-12-01,2692.0
Arganzuela,2014-01-01,2680.0
Arganzuela,2014-02-01,2717.0
Arganzuela,2014-03-01,2730.0
Arganzuela,2014-04-01,2714.0
Arganzuela,2014-05-01,2697.0
Arganzuela,2014-06-01,2709.0
Arganzuela,2014-07-01,2703.0
Arganzuela,2014-08-01,2688.0
Arganzuela,2014-09-01,2671.0
Arganzuela,2014-10-01,2667.0
Arganzuela,2014-11-01,2658.0
Arganzuela,2014-12-01,2669.0
Arganzuela,2015-01-01,2667.0
Arganzuela,2015-02-01,2672.0
Arganzuela,2015-03-01,2705.0
Arganzuela,2015-04-01,2708.0
Arganzuela,2015-05-01,2708.0
Arganzuela,2015-06-01,2739.0
Arganzuela,2015-07-01,2742.0
Arganzuela,2015-08-01,2757.0
Arganzuela,2015-09-01,2773.0
Arganzuela,2015-10-01,2776.0
Arganzuela,2015-11-01,2748.0
Arganzuela,2015-12-01,2761.0
Arganzuela,2016-01-01,2732.0
Arganzuela,2016-02-01,2736.0
Arganzuela,2016-03-01,2736.0
Arganzuela,2016-04-01,2783.0
Arganzuela,2016-05-01,2800.0
Arganzuela,2016-06-01,2849.0
Arganzuela,2016-07-01,2897.0
Arganzuela,2016-08-01,2910.0
Arganzuela,2016-09-01,2909.0
Arganzuela,2016-10-01,2899.0
Arganzuela,2016-11-01,2922.0
Arganzuela,2016-12-01,2940.0
Arganzuela,2017-01-01,2943.0
Arganzuela,2017-02-01,2999.0
Arganzuela,2017-03-01,3031.0
Arganzuela,2017-04-01,3101.0
Arganzuela,2017-05-01,3173.0
Arganzuela,2017-06-01,3208.0
Arganzuela,2017-07-01,3276.0
Arganzuela,2017-08-01,3300.0
Arganzuela,2017-09-01,3313.0
Arganzuela,2017-10-01,3324.0
Arganzuela,2017-11-01,3363.0
Arganzuela,2017-12-01,3427.0
Arganzuela,2018-01-01,3521.0
Arganzuela,2018-02-01,3622.0
Arganzuela,2018-03-01,3662.0
Arganzuela,2018-04-01,3705.0
Arganzuela,2018-05-01,3756.0
Arganzuela,2018-06-01,3887.0
Arganzuela,2018-07-01,3985.0
Arganzuela,2018-08-01,3969.0
Arganzuela,2018-09-01,3957.0
Arganzuela,2018-10-01,3996.0
Arganzuela,2018-11-01,3999.0
Arganzuela,2018-12-01,4029.0
Arganzuela,2019-01-01,4000.0
Arganzuela,2019-02-01,4024.0
Arganzuela,2019-03-01,4049.0
Arganzuela,2019-04-01,4090.0
Arganzuela,2019-05-01,4092.0
Arganzuela,2019-06-01,4091.0
Arganzuela,2019-07-01,4098.0
Arganzuela,2019-08-01,4063.0
Arganzuela,2019-09-01,4063.0
Arganzuela,2019-10-01,4075.0
Arganzuela,2019-11-01,4073.0
Arganzuela,2019-12-01,4036.0
Arganzuela,2020-01-01,4001.0
Arganzuela,2020-02-01,3990.0
Arganzuela,2020-03-01,4021.0
Arganzuela,2020-04-01,4011.0
Arganzuela,2020-05-01,4010.0
Arganzuela,2020-06-01,4015.0
Arganzuela,2020-07-01,3981.0
Arganzuela,2020-08-01,3979.0
Arganzuela,2020-09-01,3977.0
Arganzuela,2020-10-01,3961.0
Arganzuela,2020-11-01,3948.0
Arganzuela,2020-12-01,3949.0
Arganzuela,2021-01-01,3979.0
Arganzuela,2021-02-01,3977.0
Arganzuela,2021-03-01,3978.0
Arganzuela,2021-04-01,3962.0
Arganzuela,2021-05-01,4025.0
Arganzuela,2021-06-01,4070.0
Arganzuela,2021-07-01,4045.0
Arganzuela,2021-08-01,4009.0
Arganzuela,2021-09-01,4092.0
Arganzuela,2021-10-01,4119.0
Arganzuela,2021-11-01,4081.0
Arganzuela,2021-12-01,4083.0
Arganzuela,2022-01-01,4077.0
Arganzuela,2022-02-01,4144.0
Arganzuela,2022-03-01,4136.0
Arganzuela,2022-04-01,4192.0
Arganzuela,2022-05-01,4195.0
Arganzuela,2022-06-01,4272.0
Arganzuela,2022-07-01,4311.0
Arganzuela,2022-08-01,4303.0
Arganzuela,2022-09-01,4265.0
Arganzuela,2022-10-01,4308.0
Arganzuela,2022-11-01,4331.0
Arganzuela,2022-12-01,4331.0
Arganzuela,2023-01-01,4333.0
Arganzuela,2023-02-01,4354.0
Arganzuela,2023-03-01,4358.0
Arganzuela,2023-04-01,4376.0
