Variable,Importancia
CONSTRUCTEDAREA,0.34257315651866405
BATHNUMBER,0.16213383784183655
LATITUDE,0.12593756820389435
CADASTRALQUALITYID,0.07174276735963189
DISTANCE_TO_CASTELLANA,0.06372600131159006
HASLIFT,0.05006762082913362
DISTANCE_TO_CITY_CENTER,0.04598236799765912
ROOMNUMBER,0.027426929428862937
LONGITUDE,0.026352602023209958
DISTANCE_TO_METRO,0.011756467948867812
FLOORCLEAN,0.011189787281604443
CADCONSTRUCTIONYEAR,0.010684413505214391
CADMAXBUILDINGFLOOR,0.009005935530347828
CADDWELLINGCOUNT,0.008445901313536836
HASDOORMAN,0.007672863674449105
HASSWIMMINGPOOL,0.005968312543845092
HASPARKINGSPACE,0.005092581631048512
HASAIRCONDITIONING,0.0027808024015590575
HASWARDROBE,0.00235239939288132
HASBOXROOM,0.0017662025269660334
HASGARDEN,0.0016317831511931244
HASTERRACE,0.001267922062956139
HASSOUTHORIENTATION,0.0009467700171071156
HASEASTORIENTATION,0.0008308260040881782
HASWESTORIENTATION,0.0007024515985498962
HASNORTHORIENTATION,0.0006480169543735593
ISSTUDIO,0.0004970439359342104
ISDUPLEX,0.0004948065491990664
ISINTOPFLOOR,0.0003218604617957795
